ID_Video,Category,Annotator,Question,Answer
57862612@N00_4708165016_f818af49fa.avi,Temporal,Lucia,What happens to the pinhata at the end of the video?,Some parts of it are on the floor.
57862612@N00_4708165016_f818af49fa.avi,Causal,Lucia,The child is blind folded.,The child does not see anything.
57862612@N00_4708165016_f818af49fa.avi,Commonsense,Lucia,The child is blind folded.,The child does not see anything.
57862612@N00_4708165016_f818af49fa.avi,Implicit,Lucia,What game is being played?,Pinhata party game.
57862612@N00_4708165016_f818af49fa.avi,Outofscope,Davide,What does the dog in the video do?,There is no dog in the video
57862612@N00_4708165016_f818af49fa.avi,Counterfactual,Davide,What would have happened if the child had continued swinging the bat without stopping?,He would hurt the man as he came closer
57862612@N00_4708165016_f818af49fa.avi,Uncertainty,Davide,Are the people on the background the child's parents?,Don't know
57862612@N00_4708165016_f818af49fa.avi,Sentiment,Davide,Are the children in the background happy?,"Yes, they seem excited"
57862612@N00_4708165016_f818af49fa.avi,Occult entity,Davide,Where does the man in white go at the end of the video?,He goes behind the camera
57862612@N00_4708165016_f818af49fa.avi,Entity tracking,Davide,Is the pinata in the same position for the whole video?,Yes
57862612@N00_4708165016_f818af49fa.avi,Temporal,Davide,Does the child succeed in destroying the pinata at the end of the video?,No
57862612@N00_4708165016_f818af49fa.avi,Causal,Davide,Why does the child fail to point the pinata well?,Because he cannot see and has lost his sense of direction
57862612@N00_4708165016_f818af49fa.avi,Commonsense,Davide,Where is the video recorded?,It is set in a in a school gymnasium
57862612@N00_4708165016_f818af49fa.avi,Implicit,Davide,Are they celebrating something?,Probably yes
57862612@N00_4708165016_f818af49fa.avi,Outofscope,Giovanni,is the car moving?,there is no car
57862612@N00_4708165016_f818af49fa.avi,Counterfactual,Giovanni,what would happen if the boy was taller?,he would have raised the bat less to hit the pinhata
57862612@N00_4708165016_f818af49fa.avi,Uncertainty,Giovanni,is the situation safe for the kids?,not sure
57862612@N00_4708165016_f818af49fa.avi,Sentiment,Giovanni,are the kids enjoying their party?,it seems yes
57862612@N00_4708165016_f818af49fa.avi,Occult entity,Giovanni,are there tables behind the curt?,yes there are
57862612@N00_4708165016_f818af49fa.avi,Entity tracking,Giovanni,does the guy with the white shirt moving?,yes he is
57862612@N00_4708165016_f818af49fa.avi,Temporal,Giovanni,does the pinhata break before the kid hits it?,no
57862612@N00_4708165016_f818af49fa.avi,Causal,Giovanni,what caused the pinhata to break?,the kid hit it
57862612@N00_4708165016_f818af49fa.avi,Commonsense,Giovanni,is this a party of some sort?,yes it is
57862612@N00_4708165016_f818af49fa.avi,Implicit,Giovanni,way are the kids not coming closer to the one with the bat?,because they don't want to get smashed
57862612@N00_4708165016_f818af49fa.avi,Outofscope,Raffaella,What does the kid do with the ball?,There is no ball in the video
57862612@N00_4708165016_f818af49fa.avi,Counterfactual,Raffaella,What would have happened if the boy were successful in breaking the pignata?,The things inside the pignata would fall down
57862612@N00_4708165016_f818af49fa.avi,Uncertainty,Raffaella,"In the beggining of the video, do you expect the kid to be able to break the Pignata?",It does not look like he will succed.
57862612@N00_4708165016_f818af49fa.avi,Sentiment,Raffaella,Are the kids having fun?,Yes
57862612@N00_4708165016_f818af49fa.avi,Occult entity,Raffaella,Where is the men with the white short when the lady with the green jaked goes backwards?,Behind the boy
57862612@N00_4708165016_f818af49fa.avi,Entity tracking,Raffaella,Is the woman with the green jaked always next to the men waring jeans and a black pullover?,"No, she is moving back and forward"
57862612@N00_4708165016_f818af49fa.avi,Temporal,Raffaella,What does the boy with the stick do after the men put him in front of the pignata again?,He hits the pignata
57862612@N00_4708165016_f818af49fa.avi,Commonsense,Raffaella,What does the Pignata contain?,"It's not known, probably candies"
57862612@N00_4708165016_f818af49fa.avi,Implicit,Raffaella,Why does the men makes the boy turn several times?,To disorient him
57862612@N00_4708165016_f818af49fa.avi,Outofscope,Alessio,How many presents did the child receive?,The child did not receive any presents.
57862612@N00_4708165016_f818af49fa.avi,Counterfactual,Alessio,What would have happened if the child had hit the man with the stick?,The man would have been injured.
57862612@N00_4708165016_f818af49fa.avi,Uncertainty,Alessio,Had the child already hit the pinata?,Probably not.
57862612@N00_4708165016_f818af49fa.avi,Sentiment,Alessio,What is the attitude of the children in the background?,They are having fun.
57862612@N00_4708165016_f818af49fa.avi,Occult entity,Alessio,Where is the adult after spinning the child around?,"He moved out of the frame, to the left."
57862612@N00_4708165016_f818af49fa.avi,Entity tracking,Alessio,Is the child always on the left of the pinata?,No.
57862612@N00_4708165016_f818af49fa.avi,Temporal,Alessio,When the child hits the pinata with the stick?,At the end of the video.
57862612@N00_4708165016_f818af49fa.avi,Causal,Alessio,What happens after the man turns the child around?,The child finally hits the pinata.
57862612@N00_4708165016_f818af49fa.avi,Commonsense,Alessio,In what context was the video filmed?,At a children party.
57862612@N00_4708165016_f818af49fa.avi,Implicit,Alessio,Was the party organized for children?,Yes.
61082531@N07_7638997290_b024d278f1.mov,Outofscope,Alessandro B.,Are there any guns?,"No, there are no guns"
61082531@N07_7638997290_b024d278f1.mov,Counterfactual,Alessandro B.,Are they battling inside?,"No, they are outside"
61082531@N07_7638997290_b024d278f1.mov,Uncertainty,Alessandro B.,Whose house it is in the background,There are not enough element to know
61082531@N07_7638997290_b024d278f1.mov,Sentiment,Alessandro B.,Are the people having fun?,"Yes, they are having fun"
61082531@N07_7638997290_b024d278f1.mov,Occult entity,Alessandro B.,What is behind the white pole,a black flag
61082531@N07_7638997290_b024d278f1.mov,Entity tracking,Alessandro B.,What happens to the person that falls?,They stay down and the person who pushed them checks if they are ok
61082531@N07_7638997290_b024d278f1.mov,Temporal,Alessandro B.,What happens when the bald guy is hit on the head,He moves out of frame
61082531@N07_7638997290_b024d278f1.mov,Causal,Alessandro B.,What happens when the guy on the left is pushed,He falls on the ground
61082531@N07_7638997290_b024d278f1.mov,Commonsense,Alessandro B.,Who is winning?,The person with the big hammer
61082531@N07_7638997290_b024d278f1.mov,Implicit,Alessandro B.,What are they doing,They are playing with fake medieval weapons
61082531@N07_7638997290_b024d278f1.mov,Outofscope,Lucia,Are there any horses?,"No, there are no horses"
61082531@N07_7638997290_b024d278f1.mov,Counterfactual,Lucia,Are they battling in the countryside?,"Yes, they are."
61082531@N07_7638997290_b024d278f1.mov,Uncertainty,Lucia,Is there wind in the scene?,"The flag is moving, but this may be caused by people moving."
61082531@N07_7638997290_b024d278f1.mov,Sentiment,Lucia,Are the people having fun?,Yes.
61082531@N07_7638997290_b024d278f1.mov,Occult entity,Lucia,Is there the sun in the video?,It seems to illuminate the scene but cannot be seen.
61082531@N07_7638997290_b024d278f1.mov,Entity tracking,Lucia,What happens to the bald guy?,He gets hit by the hammer
61082531@N07_7638997290_b024d278f1.mov,Temporal,Lucia,Is the boy waving the big hammer high?,"Yes, in the first three seconds."
61082531@N07_7638997290_b024d278f1.mov,Causal,Lucia,What happens the bald guy after he is hit?,"Nothing, the weapon is fake."
61082531@N07_7638997290_b024d278f1.mov,Commonsense,Lucia,Is there wind in the scene?,"yes, the flag is moving"
61082531@N07_7638997290_b024d278f1.mov,Implicit,Lucia,What happens to the bald guy after he is hit?,"Nothing, the weapon is fake."
61082531@N07_7638997290_b024d278f1.mov,Outofscope,Davide,Why does the dog run away?,There is no dog in the scene
61082531@N07_7638997290_b024d278f1.mov,Counterfactual,Davide,What if the weapons were real?,somebody would have died
61082531@N07_7638997290_b024d278f1.mov,Uncertainty,Davide,Is the video shot in Scotland?,Don't know
61082531@N07_7638997290_b024d278f1.mov,Sentiment,Davide,Are they having fun?,Probably yes
61082531@N07_7638997290_b024d278f1.mov,Occult entity,Davide,Where is the pole at the beginning of the video?,It is in the same position as the end of the video
61082531@N07_7638997290_b024d278f1.mov,Entity tracking,Davide,Is the man in yellow at the end of the video the same as at the beginning of it?,Yes
61082531@N07_7638997290_b024d278f1.mov,Temporal,Davide,Does the man with the sword fall down defeated at the end of the video?,"No, at the beginning of it"
61082531@N07_7638997290_b024d278f1.mov,Commonsense,Davide,Is it a fake battle?,Yes
61082531@N07_7638997290_b024d278f1.mov,Commonsense,Davide,Is it a role-playing game?,Yes
61082531@N07_7638997290_b024d278f1.mov,Implicit,Davide,Does it represent a medieval battle?,Yes
61082531@N07_7638997290_b024d278f1.mov,Outofscope,Giovanni,is there a tower?,no
61082531@N07_7638997290_b024d278f1.mov,Counterfactual,Giovanni,what would have happened if the guys had played with real weapons?,they would have killed each other
61082531@N07_7638997290_b024d278f1.mov,Uncertainty,Giovanni,is it sunset?,probably yes
61082531@N07_7638997290_b024d278f1.mov,Sentiment,Giovanni,are there sleepy guys?,no
61082531@N07_7638997290_b024d278f1.mov,Occult entity,Giovanni,where is the black flag?,there is a black flag behind the pole
61082531@N07_7638997290_b024d278f1.mov,Entity tracking,Giovanni,is one guy with a sward falling at a certain point?,yes one guy is falling
61082531@N07_7638997290_b024d278f1.mov,Temporal,Giovanni,does the bold guy move out of frame after being hit?,yes it moves to the right out of frame
61082531@N07_7638997290_b024d278f1.mov,Causal,Giovanni,what caused the bold guy to move out of frame?,he just lost his game
61082531@N07_7638997290_b024d278f1.mov,Commonsense,Giovanni,is that a real fight?,no. they are just pretending to fight
61082531@N07_7638997290_b024d278f1.mov,Implicit,Giovanni,are the guys in the scene passionate about fighting games?,"yes, very likely"
61082531@N07_7638997290_b024d278f1.mov,Outofscope,Raffaella,I the jellow car moving slowly?,There is no yellow car.
61082531@N07_7638997290_b024d278f1.mov,Sentiment,Raffaella,Are the boys having fun?,"Yes, they are"
61082531@N07_7638997290_b024d278f1.mov,Occult entity,Raffaella,Where is the man who fall down first when the other fights?,Where he falls down
61082531@N07_7638997290_b024d278f1.mov,Entity tracking,Raffaella,The man who raise the harms towards the end of the movies is the one who falls down first?,No
61082531@N07_7638997290_b024d278f1.mov,Temporal,Raffaella,What does the boy do before raising his harms?,Push down a rival
61082531@N07_7638997290_b024d278f1.mov,Causal,Raffaella,How does the boy with the red scarf on the hips fall down?,A boy pushes him
61082531@N07_7638997290_b024d278f1.mov,Commonsense,Raffaella,are the boys having a real fight?,"No, they are playing"
61082531@N07_7638997290_b024d278f1.mov,Outofscope,Alessio,What is the boy with the gun doing?,There is no boy with a gun.
61082531@N07_7638997290_b024d278f1.mov,Counterfactual,Alessio,What would have happened if the boys featured in the video did not have the weapons?,They probably could not have played.
61082531@N07_7638997290_b024d278f1.mov,Uncertainty,Alessio,Are the boys rehearsing for a historical reenactment?,I do not have enough elements to answer this question.
61082531@N07_7638997290_b024d278f1.mov,Sentiment,Alessio,They are having fun?,Yes.
61082531@N07_7638997290_b024d278f1.mov,Occult entity,Alessio,Where are the others when the boy with the sword hits the boy with the axe?,They are behind the camera.
61082531@N07_7638997290_b024d278f1.mov,Entity tracking,Alessio,What does the boy with the axe do after being hit?,He gets back up.
61082531@N07_7638997290_b024d278f1.mov,Temporal,Alessio,How long after getting up does the boy with the sword manage to hit the boy with the axe?,After about 10 seconds.
61082531@N07_7638997290_b024d278f1.mov,Causal,Alessio,What happens after the boy with the sword hits the boy with the axe?,The boy with the axe exults.
61082531@N07_7638997290_b024d278f1.mov,Commonsense,Alessio,Are the guys playing?,Yes.
61082531@N07_7638997290_b024d278f1.mov,Implicit,Alessio,Are the guys friends?,Probably yes.
